method,watermarked_ratio,position,samples,avg_z_score,standard_auc_in_sample,standard_tpr_at_1pct_fpr_in_sample,standard_tpr_at_5pct_fpr_in_sample,standard_fixed_threshold_detection_rate,standard_negative_rate_at_fixed_threshold,avg_weighted_z_score,weighted_auc_in_sample,weighted_tpr_at_1pct_fpr_in_sample,weighted_tpr_at_5pct_fpr_in_sample,weighted_fixed_threshold_detection_rate,weighted_negative_rate_at_fixed_threshold,avg_winmax_weighted_z_score,winmax_auc_in_sample,winmax_tpr_at_1pct_fpr_in_sample,winmax_tpr_at_5pct_fpr_in_sample,winmax_fixed_threshold_detection_rate,winmax_negative_rate_at_fixed_threshold
CA-KL-CG,0.25,middle,500,1.8819998344538775,0.92581,0.426,0.738,0.048,0.0,2.620898936866297,0.949232,0.6,0.816,0.138,0.0,5.618593555868082,0.97742,0.902,0.938,0.888,0.006
CA-KL-CG,0.25,end,500,1.900662672060675,0.929476,0.558,0.734,0.048,0.0,2.6986122560068058,0.95518,0.636,0.84,0.148,0.0,5.548756342940547,0.973906,0.888,0.922,0.876,0.004
CA-KL-CG,0.25,pooled,1500,1.8921497987663463,0.9273926666666666,0.43066666666666664,0.74,0.048666666666666664,0.0,2.628186822400101,0.9511013333333334,0.6133333333333333,0.8153333333333334,0.13066666666666665,0.0,5.551348052343412,0.9736222222222222,0.886,0.9233333333333333,0.8713333333333333,0.0033333333333333335
CA-KL-CG,0.5,beginning,500,4.3572814538817335,0.988068,0.942,0.964,0.572,0.0,5.330650367227485,0.990204,0.968,0.97,0.804,0.0,7.762392488840692,0.99184,0.978,0.988,0.976,0.0
CA-KL-CG,0.5,middle,500,4.401810329575144,0.990124,0.912,0.966,0.574,0.0,5.1537256059304575,0.989064,0.946,0.974,0.798,0.0,7.831310494158208,0.992014,0.974,0.982,0.972,0.006
CA-KL-CG,0.5,end,500,4.356626617474477,0.989236,0.94,0.956,0.574,0.0,5.366029131494546,0.989216,0.952,0.972,0.826,0.0,7.759208276472378,0.99273,0.976,0.986,0.972,0.004
CA-KL-CG,0.5,pooled,1500,4.371906133643785,0.9891511111111111,0.9193333333333333,0.962,0.5733333333333334,0.0,5.2834683682174965,0.9894968888888889,0.9546666666666667,0.9733333333333334,0.8093333333333333,0.0,7.784303753157093,0.9921822222222222,0.976,0.9853333333333333,0.9733333333333334,0.0033333333333333335
CA-KL-CG,0.75,beginning,500,6.76446008695496,0.999406,0.992,0.996,0.944,0.0,7.68063481585585,0.999976,0.998,1.0,0.98,0.0,8.499378781150407,1.0,1.0,1.0,1.0,0.0
CA-KL-CG,0.75,middle,500,6.779193906118221,0.998772,0.99,0.992,0.944,0.0,7.656957131900127,0.999912,0.996,1.0,0.978,0.0,8.532586222492762,1.0,1.0,1.0,1.0,0.006
CA-KL-CG,0.75,end,500,6.771335869231148,0.99866,0.99,0.99,0.944,0.0,7.930411395614383,0.999992,1.0,1.0,0.974,0.0,8.63439608862714,1.0,1.0,1.0,1.0,0.004
CA-KL-CG,0.75,pooled,1500,6.771663287434777,0.9989468888888889,0.9906666666666667,0.9926666666666667,0.944,0.0,7.756001114456787,0.9999622222222222,0.998,1.0,0.9773333333333334,0.0,8.555453697423436,1.0,1.0,1.0,1.0,0.0033333333333333335
CA-KL-CG,1.0,beginning,500,9.236467524346535,0.99991,1.0,1.0,0.99,0.0,10.810031769073275,1.0,1.0,1.0,1.0,0.0,10.8631490937416,1.0,1.0,1.0,1.0,0.0
CA-KL-CG,1.0,middle,500,9.236467524346535,0.99988,1.0,1.0,0.99,0.0,10.810031769073275,1.0,1.0,1.0,1.0,0.0,10.8631490937416,1.0,1.0,1.0,1.0,0.006
CA-KL-CG,1.0,end,500,9.236467524346535,0.99991,1.0,1.0,0.99,0.0,10.810031769073275,1.0,1.0,1.0,1.0,0.0,10.8631490937416,1.0,1.0,1.0,1.0,0.004
CA-KL-CG,1.0,pooled,1500,9.236467524346535,0.9999,1.0,1.0,0.99,0.0,10.810031769073275,1.0,1.0,1.0,1.0,0.0,10.8631490937416,1.0,1.0,1.0,1.0,0.0033333333333333335
Fixed Delta 2.0,0.0,beginning,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,-0.08138700046371068,0.5,0.012,0.052,0.0,0.0,2.1889211591048157,0.5,0.012,0.052,0.002,0.002
Fixed Delta 2.0,0.0,middle,500,-0.5526819277241032,0.5,0.014,0.072,0.0,0.0,-0.0707794554634331,0.5,0.012,0.052,0.0,0.0,2.18307083489243,0.5,0.012,0.052,0.004,0.004
Fixed Delta 2.0,0.0,end,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,-0.06987181503916641,0.5,0.012,0.052,0.0,0.0,2.189891875147121,0.5,0.012,0.052,0.004,0.004
Fixed Delta 2.0,0.0,pooled,1500,-0.548752909280567,0.5,0.011333333333333334,0.072,0.0,0.0,-0.07401275698877006,0.5,0.010666666666666666,0.051333333333333335,0.0,0.0,2.187294623048122,0.5,0.011333333333333334,0.050666666666666665,0.0033333333333333335,0.0033333333333333335
Fixed Delta 2.0,0.25,beginning,500,1.9828446411713088,0.94113,0.546,0.796,0.05,0.0,2.690106256847127,0.964648,0.71,0.858,0.124,0.0,5.696164264359682,0.985548,0.954,0.968,0.944,0.002
Fixed Delta 2.0,0.25,middle,500,1.9717124222479558,0.937134,0.468,0.778,0.038,0.0,2.7517271116965474,0.966248,0.704,0.852,0.146,0.0,5.799245359724343,0.98689,0.952,0.966,0.946,0.004
Fixed Delta 2.0,0.25,end,500,1.984809150393077,0.938768,0.574,0.792,0.044,0.0,2.8240254844230126,0.964796,0.716,0.864,0.174,0.0,5.6984700015646315,0.985384,0.948,0.966,0.936,0.004
Fixed Delta 2.0,0.25,pooled,1500,1.9797887379374473,0.9390291111111111,0.46266666666666667,0.7886666666666666,0.044,0.0,2.755286284322229,0.9652133333333334,0.698,0.856,0.148,0.0,5.731293208549552,0.985936,0.9513333333333334,0.9666666666666667,0.942,0.0033333333333333335
Fixed Delta 2.0,0.5,beginning,500,4.509203500365136,0.995092,0.962,0.984,0.636,0.0,5.29763947889218,0.997476,0.978,0.986,0.832,0.0,7.710015618323644,0.996584,0.99,0.99,0.99,0.002
Fixed Delta 2.0,0.5,middle,500,4.553732376058547,0.995244,0.944,0.982,0.668,0.0,5.106383045134661,0.996492,0.966,0.98,0.798,0.0,7.735739313991498,0.995204,0.99,0.99,0.99,0.004
Fixed Delta 2.0,0.5,end,500,4.5134599370123,0.994848,0.962,0.978,0.608,0.0,5.359412509274766,0.997064,0.97,0.98,0.832,0.0,7.717586170676278,0.99471,0.99,0.99,0.99,0.004
Fixed Delta 2.0,0.5,pooled,1500,4.525465271145328,0.9950588888888889,0.9513333333333334,0.9813333333333333,0.6373333333333333,0.0,5.254478344433869,0.9970008888888889,0.9713333333333334,0.9813333333333333,0.8206666666666667,0.0,7.72111370099714,0.9954862222222223,0.99,0.99,0.99,0.0033333333333333335
Fixed Delta 2.0,0.75,beginning,500,6.970406137036987,1.0,1.0,1.0,0.958,0.0,7.7238301545365955,1.0,1.0,1.0,0.986,0.0,8.390046772646896,1.0,1.0,1.0,1.0,0.002
Fixed Delta 2.0,0.75,middle,500,6.9838302833857355,0.99998,1.0,1.0,0.954,0.0,7.655799191738759,0.999992,1.0,1.0,0.982,0.0,8.366925346554572,1.0,1.0,1.0,1.0,0.004
Fixed Delta 2.0,0.75,end,500,6.977609337516803,0.999984,1.0,1.0,0.952,0.0,7.900227113480182,0.999996,1.0,1.0,0.98,0.0,8.461779675798223,1.0,1.0,1.0,1.0,0.004
Fixed Delta 2.0,0.75,pooled,1500,6.977281919313175,0.999988,1.0,1.0,0.9546666666666667,0.0,7.759952153251845,0.999996,1.0,1.0,0.9826666666666667,0.0,8.40625059833323,1.0,1.0,1.0,1.0,0.0033333333333333335
Fixed Delta 2.0,1.0,beginning,500,9.562248636956419,1.0,1.0,1.0,1.0,0.0,10.833716448284,1.0,1.0,1.0,1.0,0.0,10.853279517392577,1.0,1.0,1.0,1.0,0.002
Fixed Delta 2.0,1.0,middle,500,9.562248636956419,1.0,1.0,1.0,1.0,0.0,10.833716448284,1.0,1.0,1.0,1.0,0.0,10.853279517392577,1.0,1.0,1.0,1.0,0.004
Fixed Delta 2.0,1.0,end,500,9.562248636956419,1.0,1.0,1.0,1.0,0.0,10.833716448284,1.0,1.0,1.0,1.0,0.0,10.853279517392577,1.0,1.0,1.0,1.0,0.004
Fixed Delta 2.0,1.0,pooled,1500,9.562248636956419,1.0,1.0,1.0,1.0,0.0,10.833716448284,1.0,1.0,1.0,1.0,0.0,10.853279517392577,1.0,1.0,1.0,1.0,0.0033333333333333335
