method,score_field,metric,estimate,ci_lower,ci_upper,bootstrap_repetitions,confidence_level
CA-KL + Weighted Detector,weighted_z_score,tpr_at_1pct_fpr,0.993721,0.986,1.0,2000,0.95
CA-KL + Weighted Detector,weighted_z_score,actual_fpr_at_1pct,0.014026,0.004,0.024,2000,0.95
CA-KL + Weighted Detector,weighted_z_score,tpr_at_5pct_fpr,0.995891,0.99,1.0,2000,0.95
CA-KL + Weighted Detector,weighted_z_score,actual_fpr_at_5pct,0.051996,0.034,0.072,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,mean_score,8.873974548525135,8.715386608478832,9.016417243258365,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,fixed_threshold_detection_rate,0.980083,0.966,0.992,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,auc,0.995270606,0.9906195999999999,0.9987562,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,tpr_at_1pct_fpr,0.980083,0.966,0.992,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,actual_fpr_at_1pct,0.010096,0.002,0.02,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,tpr_at_5pct_fpr,0.984067,0.972,0.994,2000,0.95
CA-KL + Weighted Detector,winmax_weighted_z_score,actual_fpr_at_5pct,0.052268,0.034,0.074,2000,0.95
CA-KL + Weighted Detector,z_score,mean_score,7.569227445756116,7.392917339586057,7.7325788952422725,2000,0.95
CA-KL + Weighted Detector,z_score,fixed_threshold_detection_rate,0.956255,0.938,0.974,2000,0.95
CA-KL + Weighted Detector,z_score,auc,0.997599586,0.99569925,0.9990981,2000,0.95
CA-KL + Weighted Detector,z_score,tpr_at_1pct_fpr,0.978217,0.964,0.99,2000,0.95
CA-KL + Weighted Detector,z_score,actual_fpr_at_1pct,0.01206,0.004,0.022,2000,0.95
CA-KL + Weighted Detector,z_score,tpr_at_5pct_fpr,0.986034,0.974,0.994,2000,0.95
CA-KL + Weighted Detector,z_score,actual_fpr_at_5pct,0.061975,0.042,0.084,2000,0.95
CA-KL,,corpus_ppl,5.817167281197968,5.605240478880097,6.032468751755231,2000,0.95
CA-KL + Candidate Greenlist,,corpus_ppl,6.0592243329253765,5.851562673670643,6.262120317402247,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,,corpus_ppl,5.603653269548952,5.389216468348114,5.810003137666057,2000,0.95
CA-KL + Weighted Detector,,corpus_ppl,5.8197780029866015,5.605129404926444,6.040451096260978,2000,0.95
No Watermark,,corpus_ppl,4.12528577842741,4.005356606206207,4.255201355271769,2000,0.95
