method,score_field,samples,mean_score,mean_score_ci_lower,mean_score_ci_upper,fixed_threshold_detection_rate,fixed_threshold_detection_rate_ci_lower,fixed_threshold_detection_rate_ci_upper,auc,auc_ci_lower,auc_ci_upper,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lower,tpr_at_1pct_fpr_ci_upper,actual_fpr_at_1pct,tpr_at_5pct_fpr,tpr_at_5pct_fpr_ci_lower,tpr_at_5pct_fpr_ci_upper,actual_fpr_at_5pct
CA-KL,z_score,499,12.120544397336534,11.89775608302692,12.328491609103974,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.9954377693262276,0.9901329211529271,0.9992951835534797,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.014028056112224449,0.9899799599198397,0.9819639278557114,0.9979959919839679,0.05811623246492986
CA-KL + Candidate Greenlist,z_score,499,10.928937321914164,10.719676507852867,11.140370421017492,0.9799599198396793,0.9659318637274549,0.9900300601202402,0.995955839534781,0.991638487395633,0.9992538182577579,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.014028056112224449,0.9919839679358717,0.9839679358717435,0.9979959919839679,0.05811623246492986
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,499,10.45283331653323,10.21656755635669,10.69062737294757,0.9719438877755511,0.9559118236472945,0.9859719438877755,0.9926024393476331,0.9864169220203934,0.9975743069304942,0.9719438877755511,0.9559118236472945,0.9859719438877755,0.014028056112224449,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.05811623246492986
CA-KL + Weighted Detector,z_score,499,12.120544397336534,11.90376894363741,12.335156765033032,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.9954377693262276,0.9896583246653627,0.999275354315846,0.9839679358717435,0.9719438877755511,0.9939879759519038,0.014028056112224449,0.9899799599198397,0.9799599198396793,0.9979959919839679,0.05811623246492986
Current Adaptive Delta,z_score,499,9.969740978164756,9.733607359672499,10.193405929780111,0.9679358717434869,0.9519038076152304,0.9819639278557114,0.9904779498877515,0.9831950474094483,0.9965764193718096,0.9679358717434869,0.9519038076152304,0.9819639278557114,0.014028056112224449,0.9819639278557114,0.969939879759519,0.9919839679358717,0.05811623246492986
Fixed Delta 2.0,z_score,499,10.657153581721005,10.430960911397815,10.887215384707853,0.9739478957915831,0.9599198396793587,0.9859719438877755,0.9914297532941635,0.9844586467524228,0.9970804836125156,0.9739478957915831,0.9599198396793587,0.9859719438877755,0.014028056112224449,0.9859719438877755,0.9759519038076152,0.9959919839679359,0.05811623246492986
